Isolate_name;MIC50 CAN;MIC50 CYP;MIC50 DFN
F2;5.1;2.8;0.5
Fr1;22.5;9;1
Fr2;40;7.4;0.6
SFr4.3;25.1;7.9;2.4
LSK2.11;19.7;49.3;1.8
FLSK5.1;18.8;7.5;1.3
LSK10.4;41;18.9;2.4
LCH10.2;20.9;34.1;7.1
LCH5.9;51.5;11.9;1.3
ChF4.2;6.3;2.2;0.9
LCH2.1;44.7;29.7;3.7
CaL1.1;19.1;20.6;1.1
CaFr2.1;19.4;3.8;1.2
LC5.2;39.5;186;0.7
LC1.9;38.4;59.6;5.2
LC1.3;50.8;50.5;4.2
LF3.10;20.6;3.4;4.8
LF5.11;23.4;14.1;2.2
FFr4.3;19.9;3.2;3.1
LF5.16;28.7;42.8;1.4
LF5.10;54.4;41.9;10.1
AF4.1b;17;8.9;0.4
AL4e;19.3;1.45E+39;2.2
AF4.1a;5.8;3.6;0.6
CnF4.2;5.3;2;0.6
CnL4a;21.4;6;1.7
CnFr4.4;33.1;9;0.9
FL4.31;40.2;8.3;1
FLF4.3;5.7;4.7;1.4
FLS4a;109.6;6.6;1.8
